S,m,cx,xmax,D_x,threshold_area,max_growth_accel,crosses_threshold
0.08,1.32,0.49,1.4272698888467243,5.4873463272050405,0.38590354890341166,0.3709834591468342,True
0.0825,1.33,0.4975,1.4197546186526466,5.448004350665911,0.3731922024009007,0.3691591962377252,True
0.085,1.34,0.505,1.4123413719337758,5.409643300751377,0.3607599264519996,0.3673513713813088,True
0.0875,1.35,0.5125,1.4050472804420149,5.372223374280035,0.3485777319568184,0.365560966407807,True
0.09,1.3599999999999999,0.52,1.3978471943611062,5.33569455877274,0.336654348027481,0.36379003251946695,True
0.0925,1.37,0.5275,1.390738753710544,5.3000320577690845,0.32495926291434424,0.3620348683382475,True
0.095,1.38,0.535,1.383736741485798,5.265238117906127,0.31353650058921084,0.3602952934824693,True
0.0975,1.3900000000000001,0.5425,1.376831603379775,5.231252164423451,0.3023384556685721,0.35857112936965285,True
0.1,1.4,0.55,1.3700119074581534,5.198045822435294,0.2913810135103973,0.3568640167687762,True
0.10250000000000001,1.4100000000000001,0.5575,1.3632814816914052,5.165595487572171,0.2806495420198355,0.3551743545471833,True
0.10500000000000001,1.42,0.5650000000000001,1.3566527548574965,5.133901180504615,0.27016198242353173,0.3534994820924798,True
0.1075,1.43,0.5725,1.3501037848474278,5.102898814607287,0.2598890763985535,0.3518392306411981,True
0.11,1.44,0.5800000000000001,1.3436338712988154,5.072557651309629,0.2498341607625404,0.3501934332310523,True
0.1125,1.45,0.5875,1.3372601048504575,5.042879161282322,0.24001609542499358,0.3485632699477435,True
0.115,1.46,0.595,1.3309652908884544,5.013827525809398,0.23039807828130388,0.34694977097564533,True
0.1175,1.47,0.6025,1.3247445026919926,4.985393909293892,0.22099887608152222,0.34535014972990274,True
0.12,1.48,0.61,1.3186071323229007,4.957573010241339,0.2118176820752769,0.3437642486530042,True
0.1225,1.49,0.6174999999999999,1.3125511933798688,4.930328417532715,0.20283147335718518,0.342191911950337,True
0.125,1.5,0.625,1.3065658541042586,4.903667367217408,0.19406004874795246,0.3406329855910502,True
0.1275,1.51,0.6325000000000001,1.300650884472929,4.877575952663234,0.1854917876637768,0.3390908442118499,True
0.13,1.52,0.64,1.2948196888644432,4.852015085664333,0.17710984327727727,0.3375618037933109,True
0.1325,1.53,0.6475,1.2890570549642144,4.8270013423049996,0.16894614535634295,0.33604564633467787,True
0.135,1.54,0.655,1.283357970159681,4.802507850531363,0.16096842137507028,0.33454222665251243,True
0.1375,1.55,0.6625000000000001,1.2777344120603515,4.7785292270667625,0.1531819503336403,0.3330514012575667,True
0.14,1.56,0.67,1.2721801741747836,4.755049059886887,0.14559033768128354,0.331574090341367,True
0.14250000000000002,1.57,0.6775,1.2666857253969122,4.732045391344625,0.13818764566947853,0.33011130500044217,True
0.14500000000000002,1.58,0.685,1.2612586315785665,4.709536109586448,0.13097939091194857,0.32866062497603643,True
0.14750000000000002,1.59,0.6925000000000001,1.255900630428403,4.687479518810791,0.12394722739441104,0.3272219150852159,True
0.15000000000000002,1.6,0.7000000000000001,1.2506021266584364,4.665882907185657,0.11710859034189874,0.32579504175600366,True
0.1525,1.6099999999999999,0.7075,1.2453586765867561,4.6447268603066565,0.11044475674743491,0.32437987301821836,True
0.155,1.62,0.715,1.2401894981494317,4.6240178449289475,0.10397247823048425,0.3229772918499689,True
0.1575,1.63,0.7225,1.2350737306769526,4.603725747793141,0.09767796679312826,0.32158813843325595,True
0.16,1.6400000000000001,0.73,1.2300114269410254,4.583845863785425,0.09156385530472111,0.3202102423598655,True
0.1625,1.65,0.7375,1.2250149808142303,4.5643859613330555,0.08563121122473735,0.3188434793368039,True
0.165,1.6600000000000001,0.745,1.2200731849349635,4.5453158333611,0.0798710585459064,0.3174877265804644,True
0.1675,1.67,0.7525000000000001,1.21518292792649,4.526638974810659,0.07429527177738435,0.31614286280494325,True
0.16999999999999998,1.68,0.76,1.2103507490335446,4.50835314991671,0.06889507978732846,0.3148087682098915,True
0.1725,1.69,0.7675,1.2055748898344552,4.490437298619844,0.06366880878838363,0.31348806000406465,True
0.175,1.7,0.7749999999999999,1.2008467840344226,4.4728847886031815,0.05862051960787572,0.31217784871005816,True
0.1775,1.71,0.7825,1.1961717396434817,4.455709097512017,0.05375478098692324,0.31087800295772594,True
0.18,1.72,0.79,1.1915537629400148,4.438884260432055,0.04906648224520631,0.309588409918967,True
0.1825,1.73,0.7975,1.186980561399114,4.422404037551442,0.04455503260262397,0.30830895815529585,True
0.185,1.74,0.8049999999999999,1.1824550822775712,4.406278741861273,0.040221306933012506,0.3070395376046525,True
0.1875,1.75,0.8125,1.1779866770127572,4.390484611063783,0.036069213954779064,0.30578071686941044,True
0.19,1.76,0.8200000000000001,1.1735607454972161,4.37502355685686,0.03210239659209646,0.3045335260304315,True
0.1925,1.77,0.8275,1.169179063908696,4.359893820396272,0.028316387081068234,0.3032959968600154,True
0.195,1.78,0.835,1.164853137249215,4.345086339237496,0.02472261133094806,0.30206802567391033,True
0.1975,1.79,0.8425,1.1605671073972375,4.330605335289947,0.021314614977554526,0.3008495100702566,True
0.2,1.8,0.8500000000000001,1.156323716623398,4.316450855240178,0.018107720462253032,0.29964034891612373,True
0.2025,1.81,0.8575,1.1521335590734945,4.3026158649724415,0.015100146316985015,0.2984404423339388,True
0.20500000000000002,1.82,0.865,1.1479813487225237,4.289112907115636,0.012300674159959352,0.2972499712663574,True
0.20750000000000002,1.83,0.8725,1.1438707690421925,4.275927823322961,0.009716013179346644,0.2960705475398348,True
0.21000000000000002,1.84,0.8800000000000001,1.1398100169020422,4.263088345391746,0.007359398240137124,0.2949000443337015,True
0.21250000000000002,1.85,0.8875000000000001,1.13578494008362,4.250583059586872,0.005249395473815625,0.29373836751418,True
0.21500000000000002,1.86,0.895,1.1318033162765357,4.238440678758022,0.003401888481296682,0.2925854241132429,True
0.21750000000000003,1.87,0.9025000000000001,1.1278658057951143,4.226669972360761,0.0018545009543024142,0.2914411223153406,True
0.22000000000000003,1.8800000000000001,0.9100000000000001,1.1239614609297204,4.215328401620143,0.0006647700714434491,0.29030537144411583,True
0.22250000000000003,1.8900000000000001,0.9175000000000001,1.1201059354873488,4.204529418710649,2.9038311086338295e-06,0.2891780819491155,True
0.22499999999999998,1.9,0.9249999999999999,1.1162795958438751,4.194390382943126,0.0,0.2880602277526352,False
0.22749999999999998,1.91,0.9324999999999999,1.1124813836658036,4.184380729519592,0.0,0.28695163537459756,False
0.22999999999999998,1.92,0.94,1.1087135720204564,4.1745029905807325,0.0,0.28585120606685116,False
0.23249999999999998,1.93,0.9475,1.1049656921272357,4.164754532596127,0.0,0.2847588553699344,False
0.235,1.94,0.955,1.1012552048320274,4.155125847536895,0.0,0.2836744998674266,False
0.2375,1.95,0.9624999999999999,1.0975629874899262,4.14562732878255,0.0,0.28259805717332503,False
0.24,1.96,0.97,1.093901967727197,4.136242288816876,0.0,0.2815294459194734,False
0.2425,1.97,0.9775,1.0902655470183624,4.126978017071189,0.0,0.28046858574304756,False
0.245,1.98,0.985,1.086651408553789,4.117827936440894,0.0,0.2794161424683884,False
0.2475,1.99,0.9924999999999999,1.0830696473518864,4.108787367972944,0.0,0.2783723907392486,False
0.25,2.0,1.0,1.0795054534401791,4.099863613477428,0.0,0.2773361232362691,False
0.2525,2.01,1.0075,1.075972935762653,4.091042542413089,0.0,0.2763072641013193,False
0.255,2.02,1.0150000000000001,1.0724619423032808,4.082333873006673,0.0,0.2752857384064343,False
0.2575,2.0300000000000002,1.0225,1.0689731289489586,4.073726758323149,0.0,0.27427147214213016,False
0.26,2.04,1.03,1.065514258853808,4.065220473347374,0.0,0.27326439220580495,False
0.2625,2.05,1.0375,1.0620722603035484,4.056818804222534,0.0,0.2722644263902253,False
0.265,2.06,1.045,1.0586602132592355,4.048509297112982,0.0,0.2712715033721073,False
0.2675,2.0700000000000003,1.0525,1.055268948160162,4.040303766812131,0.0,0.27028676759534287,False
0.27,2.08,1.06,1.0518976802548636,4.032188681206602,0.0,0.26930936867803673,False
0.2725,2.09,1.0675000000000001,1.048556129729373,4.024168020227716,0.0,0.2683387764825487,False
0.275,2.1,1.0750000000000002,1.0452307677655728,4.016240390646194,0.0,0.26737492361330506,False
0.2775,2.1100000000000003,1.0825,1.0419317672640045,4.00839922163009,0.0,0.26641774349210795,False
0.28,2.12,1.09,1.0386547983821208,4.0006519657557496,0.0,0.26546717034760065,False
0.28250000000000003,2.13,1.0975000000000001,1.035393882916827,3.992986269329412,0.0,0.26452313920483367,False
0.28500000000000003,2.14,1.105,1.0321643441943116,3.9854099322287015,0.0,0.2635855858749333,False
0.28750000000000003,2.1500000000000004,1.1125,1.0289503279895336,3.977914579958766,0.0,0.2626544469448751,False
0.29,2.16,1.1199999999999999,1.0257575090532722,3.9704997181295356,0.0,0.2617303143488918,False
0.2925,2.17,1.1275,1.02258966838024,3.9631667105100647,0.0,0.2608133021977436,False
0.295,2.1799999999999997,1.135,1.01943701347603,3.95590670021974,0.0,0.2599024950731276,False
0.2975,2.19,1.1425,1.0163098776555992,3.9487311116316866,0.0,0.25899783298719364,False
0.3,2.2,1.15,1.0132021793465826,3.9416266126616057,0.0,0.2580992566695619,False
0.3025,2.21,1.1575,1.010109332691591,3.934599582172047,0.0,0.2572067075579568,False
0.305,2.2199999999999998,1.165,1.0070455690821183,3.9276455011541604,0.0,0.2563201277889461,False
0.3075,2.23,1.1724999999999999,1.003996495400204,3.920761365386591,0.0,0.2554394601887829,False
0.31,2.24,1.18,1.0009654911377446,3.9139530981319424,0.0,0.25456464826435304,False
0.3125,2.25,1.1875,0.9979593383348935,3.9072097981953444,0.0,0.2536956361942275,False
0.315,2.26,1.195,0.9949674097921628,3.9005409083513887,0.0,0.2528329860651604,False
0.3175,2.27,1.2025000000000001,0.991996240006108,3.8939371534739906,0.0,0.251976734496594,False
0.32,2.2800000000000002,1.21,0.9890461111304214,3.887401152311121,0.0,0.2511260989254352,False
0.3225,2.29,1.2175,0.9861098865533068,3.8809330891435168,0.0,0.2502810264780801,False
0.325,2.3,1.225,0.9831964923659468,3.8745269503819713,0.0,0.2494414649024143,False
0.3275,2.31,1.2325,0.9803009796898898,3.868190110685316,0.0,0.24860736255965957,False
0.33,2.3200000000000003,1.24,0.9774190560892071,3.8619121354218677,0.0,0.24777866841631865,False
0.3325,2.33,1.2475,0.9745614650382035,3.8557000447435343,0.0,0.24695533203621947,False
0.335,2.34,1.2550000000000001,0.971719198326345,3.8495475589455657,0.0,0.2461373035726587,False
0.3375,2.35,1.2625000000000002,0.9688902106058528,3.843455321009876,0.0,0.24532453376064306,False
0.34,2.3600000000000003,1.27,0.9660865327276373,3.837425066518182,0.0,0.24451697390922902,False
0.3425,2.37,1.2775,0.9632961788930149,3.831449137557303,0.0,0.24371543551827543,False
0.34500000000000003,2.38,1.2850000000000001,0.9605196715724243,3.825538097552502,0.0,0.24291932608592623,False
0.34750000000000003,2.39,1.2925,0.9577672235047981,3.8196800333141057,0.0,0.24212826661651615,False
0.35000000000000003,2.4000000000000004,1.3,0.9550274861460393,3.81387999812047,0.0,0.24134221092516822,False
0.35250000000000004,2.41,1.3075,0.9523020138064602,3.8081357305333063,0.0,0.24056111335868893,False
0.35500000000000004,2.42,1.3150000000000002,0.949599214223979,3.8024439055432206,0.0,0.2397849287886067,False
0.35750000000000004,2.43,1.3225000000000002,0.9469088330656107,3.796809938940067,0.0,0.2390136126043015,False
0.36000000000000004,2.4400000000000004,1.33,0.9442327076500413,3.7912253576251596,0.0,0.2382471207062232,False
0.36250000000000004,2.45,1.3375000000000001,0.9415783259166632,3.7856968578818577,0.0,0.23748540949919897,False
0.36500000000000005,2.46,1.3450000000000002,0.9389360761716473,3.7802185242294266,0.0,0.23672843588582898,False
0.36750000000000005,2.47,1.3525,0.936307679044534,3.7747913746679775,0.0,0.23597615725996873,False
0.37,2.48,1.3599999999999999,0.9337005191928653,3.769416292403304,0.0,0.2352286719452614,False
0.3725,2.49,1.3675,0.93110521086358,3.7640869595512,0.0,0.2344867061580067,False
0.375,2.5,1.375,0.9285229896518321,3.758811954833916,0.0,0.2337492955954028,False
0.3775,2.51,1.3825,0.9259618896767908,3.753581520983201,0.0,0.23301639978734875,False
0.38,2.52,1.3900000000000001,0.9234123668082479,3.7483999393917102,0.0,0.23228797871932702,False
